IL                              ILCE                            SEMT                            MAHALLE                                 POSTA KODU
AĞRI                          	DİYADİN                       	DİYADİN                       	14 NİSAN MAH.                      	04900
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÜÇMURAT KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÜZENGİLİ KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YAĞMURDÜŞEN KÖYÜ                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YAKACIK MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YALINSAZ KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YANOBA KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YAYGINYURT KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YENİHARMAN KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YENİKÖY MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YIĞINÇAL KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YILANLI KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YİĞİTYATAĞI KÖYÜ                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YOLÜSTÜ MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YUKARI MELİKŞAH MAH.               	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	YUKARITAVLA KÖYÜ                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ZİYARET MAH.                       	04402
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	ESENTEPE MAH.                      	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	FATİH MAH.                         	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	HÜRRİYET MAH.                      	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	İSTİKLAL MAH.                      	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	KARŞIYAKA MAH.                     	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	KAZIM KARABEKİR MAH.               	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	LOZAN MAH.                         	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	MÜFTÜSELİM MAH.                    	04600
AĞRI                          	ELEŞKİRT                      	ELEŞKİRT                      	YÜCEKAPI KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ABDİKÖY KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	AKYUMAK KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	AKYUMAK MEZRASI MAH.               	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ALAGÜN KÖYÜ                        	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ALİ PAŞA MAH.                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ALKUŞAK KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ARİFBEY KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	AŞAĞIKOPUZ KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	AYDOĞDU KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	CUMHURİYET MAH.                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÇATALPINAR KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÇATKÖSEDAĞ KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÇELİK MAH.                         	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÇETİNSU KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÇİFTEPINAR KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DALKILIÇ KONUTLAR MAH.             	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DALKILIÇ KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DEĞİRMENOLUĞU KÖYÜ                 	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DOLUTAŞ KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DÜZAĞIL KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	DÜZYAYLA KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ERGÖZÜ KÖYÜ                        	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	EYÜPKOMU MAH.                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	GONCALI KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	GÖZAYDIN KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	GÜNEYKAYA KÖYÜ                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	GÜVENCE KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HAN MAH.                           	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HAREBEGÜL MAH.                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HASANPINARI KÖYÜ                   	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HAYDAROĞLU KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HAYRANGÖL KÖYÜ                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	HÜRRİYET KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	İKİZGEÇE KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	İKİZGÖL KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	İNDERE KÖYÜ                        	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	KANATGEREN KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	KARABACAK KÖYÜ                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	KAYAYOLU KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	KOKULUPINAR KÖYÜ                   	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	KÖRPEÇAYIR KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	MOLLAHÜSEYİN KÖYÜ                  	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	MOLLASÜLEYMAN KÖYÜ                 	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	OKLAVALI MAH.                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ÖZTOPRAK KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	PALAKÇAYIRI KÖYÜ                   	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	PİRABAT KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	POSTO MAH.                         	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	RAMAZAN KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SADAKLI KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SALKIMLI KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SARIKÖY KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SÖBETAŞ KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SULTANABAT KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	SÜZGEÇLİ KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ŞEHİT ENGİN MAH.                   	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	TAHİR KÖYÜ                         	04401
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	TOPRAKKALE KÖYÜ                    	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	TÜRKELİ KÖYÜ                       	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ULUDAL KÖYÜ                        	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	UZUNYAZI KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YAĞMURLU KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YANIKDERE KÖYÜ                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YAYLADÜZÜ KÖYÜ                     	04401
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YELKESEN KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YEŞİL MAH.                         	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YEŞİLOVA KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YEŞİLYURT MAH.                     	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YIĞINTAŞ KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YUKARIKOPUZ KÖYÜ                   	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	YÜCEKAPI KÖYÜ                      	04602
AĞRI                          	ELEŞKİRT                      	MERKEZKÖYLER                  	ZEYİT YAYLASI MAH.                 	04602
AĞRI                          	ELEŞKİRT                      	TAHİR                         	AŞAĞICİHANBEY MAH.                 	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	AYDINTEPE MAH.                     	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	DEĞİRMENGEÇİDİ MAH.                	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	GÖKÇAYIR MAH.                      	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	KARŞIYAKA MAH.                     	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	TAHİR KÖYÜ                         	04401
AĞRI                          	ELEŞKİRT                      	TAHİR                         	YAYLADÜZÜ KÖYÜ                     	04401
AĞRI                          	HAMUR                         	HAMUR                         	BUZHANE MAH.                       	04850
AĞRI                          	HAMUR                         	HAMUR                         	KALE MAH.                          	04850
AĞRI                          	HAMUR                         	HAMUR                         	KÜMBET MAH.                        	04850
AĞRI                          	HAMUR                         	HAMUR                         	MERKEZ MAH.                        	04850
AĞRI                          	HAMUR                         	HAMUR                         	YENİ MAH.                          	04850
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ABDİÇIKMAZ KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ADIMOVA KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AKÖREN MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AKYURT MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ALAKOYUN KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ALİAĞA MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ALTIN YURT MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞ KOYUNCU MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞ. MOLLAHASAN MAH.                	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞI GÖZE MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞI KAYALAR MAH.                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞI MOLLAHASAN MAH.              	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞI YURT MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞIALADAĞ KÖYÜ                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞIDEREDİBİ KÖYÜ                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞIGÖZLÜCE KÖYÜ                  	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞIKARABAL KÖYÜ                  	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AŞAĞIYENİGÜN KÖYÜ                  	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AYDINLAR MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	AYVACIK KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	BALDERE KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	BEKCİLER MEZRASI MAH.              	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	BEKLEMEZ KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	BOZO ÇAYIRI MAH.                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	BOZTEPE MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	CEYLANLI KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÇAĞLAYAN KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÇEŞME MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	DANACIK MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	DANAKIRAN KÖYÜ                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	DARBOĞAZ MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	DEMİRKAPI KÖYÜ                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	EKİNCİK KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ERDOĞAN KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ESENÖREN KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GOME MAH.                          	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GÜLÇİMEN MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GÜLLÜCE MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GÜLTEPE KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GÜMÜŞKUŞAK KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	GÜVEÇ MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	HANİK MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KAÇMAZ KÖYÜ                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KAMIŞLI KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KANDİLDAĞI KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARADERE MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARADOĞU KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARAKAZAN KÖYÜ                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARASEYİTALİ KÖYÜ                  	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARDEŞLER MAH.                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KARLICA KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KAYALAR MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KAYNAKLI KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KELEŞKOM MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KENDALANA MAH.                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KILIÇ KÖYÜ                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KÖŞK KÖYÜ                          	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	KUNCIK MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	MEZRA MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	MUSABEY MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	NALLIKONAK KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	NENİK MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	OLUKLU MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ORTA MOLLAHASAN MAH.               	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ORTAKÖY MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÖMERŞABAN MAH.                     	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÖRENLİ MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÖZDİREK KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SARIBUĞDAY KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SELİM MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SESLİDOĞAN KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SEYİTHANBEY KÖYÜ                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SOĞANLITEPE KÖYÜ                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	SÜLEYMANKÜMBET KÖYÜ                	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ŞEHİT MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ŞİKEFT MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TATLISU MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TAZEKÖY MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TEPECİK MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TOKLU MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TUTAK MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	TÜKENMEZ KÖYÜ                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	UĞURTAŞ KÖYÜ                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	UZUN ÇEŞME MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	ÜÇ EVLER MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YAMAÇ MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YAPILI KÖYÜ                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YAZILI MAH.                        	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YEŞİL MAH.                         	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YK KUYUNCU MAH.                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YK YURT MAH.                       	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YK. MOLLAHASAN MAH.                	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YOĞUNHİSAR KÖYÜ                    	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YOĞURTÇU MAH.                      	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARI DEREDİBİ MAH.               	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARI GÖZE MAH.                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARI KAYA MAH.                   	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARIAĞADEVE KÖYÜ                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARIALADAĞ KÖYÜ                  	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARIEKİNCİK MAH.                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARIGÖZLÜCE KÖYÜ                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARITEPECİK MAH.                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUKARIYENİGÜN KÖYÜ                 	04852
AĞRI                          	HAMUR                         	MERKEZKÖYLER                  	YUVACIK KÖYÜ                       	04852
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	100.YIL MAH.                       	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	ALPASLAN MAH.                      	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	CUMHURİYET MAH.                    	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	FEVZİ ÇAKMAK MAH.                  	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	FIRAT MAH.                         	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	KURTULUŞ MAH.                      	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	MEHMET AKİF ERSOY MAH.             	04200
AĞRI                          	MERKEZ                        	FEVZİÇAKMAK                   	MURAT MAH.                         	04200
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	ABİDE MAH.                         	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	AŞAĞIKÜPKIRAN MAH.                 	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	BAHÇELİEVLER MAH.                  	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	FATİH MAH.                         	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	GAZİ MAH.                          	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	HÜRRİYET MAH.                      	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	KAZIM KARABEKİR MAH.               	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	LEYLEK PINAR MAH.                  	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	SITKIYE MAH.                       	04100
AĞRI                          	MERKEZ                        	KAZIMKARABEKİR                	YAVUZ MAH.                         	04100
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AĞILBAŞI KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AĞRI OSB MAH.                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AHMETBEY KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AKBULGUR KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AKÇAY KÖYÜ                         	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ALTINÇAYIR MAH.                    	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ANAKAYA KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ARAKONAK KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ARAP MAH.                          	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ASLANGAZİ KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞI PINAR MAH.                   	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞIAĞADEVE KÖYÜ                  	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞIDÜRMELİ KÖYÜ                  	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞIKENT KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞIPAMUKTAŞ KÖYÜ                 	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞISAKLICA KÖYÜ                  	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞISUBAŞI MAH.                   	04000
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞAĞIYOLDÜZÜ KÖYÜ                  	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AŞKALE KÖYÜ                        	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	AYRANLI MAH.                       	04000
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BADILLI KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BALIKSU KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BALKAYNAK KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BALLIBOSTAN KÖYÜ                   	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BALOLUK KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BAŞÇAVUŞ KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BAŞKENT KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BEŞBULAK KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BEŞİKTEPE KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BEZİRHANE KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BOZTOPRAK KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	BÖLÜKBAŞI KÖYÜ                     	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	CUMAÇAY KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ÇAKIROBA KÖYÜ                      	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ÇAMURLU KÖYÜ                       	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ÇATALİPAŞA KÖYÜ                    	04010
AĞRI                          	MERKEZ                        	MERKEZKÖYLER                  	ÇAYIR MAH.                         	04010
